STATE/UT,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING,DACOITY,ROBBERY,RIOTS,FRAUD,HURT,AGAINST WOMEN,NEGLIGENCE,OTHER,TOTAL IPC CRIMES
BIHAR,TOTAL,2009,6463,1858,6444,718,35627,9239,3931,14746,4596,4516,54165,122931
CHHATTISGARH,TOTAL,2009,1834,1952,572,150,16113,1292,916,9543,2771,2735,20546,51370
GOA,TOTAL,2009,88,94,66,4,2040,74,211,191,71,220,884,3005
GUJARAT,TOTAL,2009,1518,866,2696,257,45246,1779,2508,9456,6371,5178,60758,115183
HARYANA,TOTAL,2009,1716,1206,1832,450,30590,1319,2268,3977,3954,1549,21804,56229
HIMACHAL PRADESH,TOTAL,2009,211,366,300,4,2451,715,383,1230,640,616,7555,13315
JAMMU & KASHMIR,TOTAL,2009,807,474,1746,1,6897,1689,644,331,1551,517,11059,21975
JHARKHAND,TOTAL,2009,3014,1438,1654,465,17604,2515,1398,4132,1370,1678,11430,37436
KARNATAKA,TOTAL,2009,3388,1018,1784,619,49606,6562,5711,20105,5701,417,61108,134042
KERALA,TOTAL,2009,851,1136,512,378,15512,8589,3814,18274,6962,41,68688,118369
MADHYA PRADESH,TOTAL,2009,4715,5996,2072,273,59451,3150,2432,37132,11877,6591,101367,207762
MAHARASHTRA,TOTAL,2009,4631,2966,2572,1067,121015,9135,10349,28326,12317,12459,48460,199598
MANIPUR,TOTAL,2009,611,62,318,189,859,129,117,224,66,0,861,2852
MEGHALAYA,TOTAL,2009,179,224,112,65,1304,72,148,207,98,72,680,2448
MIZORAM,TOTAL,2009,53,166,18,2,1907,25,100,120,66,36,407,2047
NAGALAND,TOTAL,2009,88,44,104,8,868,8,42,38,11,34,235,1059
ODISHA,TOTAL,2009,2529,2046,1860,443,18697,2131,1429,6816,5339,2979,20560,55740
PUNJAB,TOTAL,2009,1996,1022,1384,134,13926,109,3395,5498,1539,3289,10080,35545
RAJASTHAN,TOTAL,2009,3148,3038,5740,110,50468,1701,15938,21652,13316,7898,70089,166565
SIKKIM,TOTAL,2009,29,36,12,0,221,48,18,91,16,59,225,669
TAMIL NADU,TOTAL,2009,4127,1192,2744,131,36789,2977,3124,18147,3397,13528,106215,174691
TRIPURA,TOTAL,2009,194,380,242,7,1138,240,182,1047,1233,225,1324,5486
UTTAR PRADESH,TOTAL,2009,10114,3518,12166,424,65997,4517,13101,10934,16104,12159,60918,172884
UTTARAKHAND,TOTAL,2009,431,222,550,42,3744,483,743,1198,823,685,1868,8802
WEST BENGAL,TOTAL,2009,5118,4672,5500,938,35346,7044,4369,11196,18673,3623,38776,113036
A & N ISLANDS,TOTAL,2009,23,36,32,0,365,23,29,89,59,2,451,941
CHANDIGARH,TOTAL,2009,48,58,80,7,3730,70,235,63,81,7,976,3555
D & N HAVELI,TOTAL,2009,16,8,24,9,171,58,38,23,6,17,151,442
DAMAN & DIU,TOTAL,2009,10,2,0,0,119,32,15,14,8,40,78,276
DELHI UT,TOTAL,2009,1005,938,5072,105,45710,91,2380,1938,2094,846,14808,50251
LAKSHADWEEP,TOTAL,2009,1,2,0,3,21,46,0,14,0,0,58,134
PUDUCHERRY,TOTAL,2009,67,2,36,12,1502,152,59,901,79,233,2278,4591
ANDHRA PRADESH,TOTAL,2010,4646,2724,4106,136,62262,3156,10480,46777,21864,14085,41373,181438
ARUNACHAL PRADESH,TOTAL,2010,112,94,134,15,1170,59,150,439,97,106,622,2439
ASSAM,TOTAL,2010,1700,3442,6500,260,19840,2620,2431,5744,7005,2847,22110,61668
BIHAR,TOTAL,2010,6621,1590,7348,690,36063,9469,4148,15328,4086,5615,56508,127453
CHHATTISGARH,TOTAL,2010,1851,2024,718,137,15873,1411,1068,10188,2866,2907,23091,54958
GOA,TOTAL,2010,65,72,50,2,2475,87,207,177,70,256,927,3293
GUJARAT,TOTAL,2010,1554,816,2894,204,39043,1883,2471,10131,6397,5907,63788,116439
HARYANA,TOTAL,2010,1904,1440,1926,395,37711,1635,2610,3733,4060,1595,20060,59120
HIMACHAL PRADESH,TOTAL,2010,218,320,388,2,2430,742,432,1374,705,610,7020,13049
JAMMU & KASHMIR,TOTAL,2010,954,490,1792,6,6487,2393,591,278,1520,494,11869,23223
JHARKHAND,TOTAL,2010,2799,1546,1956,354,16246,2632,1509,4271,1195,1745,13477,38889
KARNATAKA,TOTAL,2010,3749,1172,2748,572,48194,7996,6199,21835,6316,471,65123,142322
KERALA,TOTAL,2010,810,1268,522,295,12078,9098,3978,18532,8292,47,98668,148313
MADHYA PRADESH,TOTAL,2010,4823,6270,2374,220,54970,3354,2319,39193,12217,7038,107390,214269
MAHARASHTRA,TOTAL,2010,4822,3198,3016,1063,125468,9641,11021,29696,12668,13508,49739,208168
MANIPUR,TOTAL,2010,351,68,398,196,902,151,90,227,49,1,932,2715
MEGHALAYA,TOTAL,2010,202,298,142,43,1561,59,139,154,72,53,666,2505
MIZORAM,TOTAL,2010,82,184,18,3,2087,15,116,116,78,44,355,2174
NAGALAND,TOTAL,2010,93,32,100,3,919,3,55,36,17,22,242,1059
ODISHA,TOTAL,2010,2775,2050,2032,463,19490,2209,1459,7181,5597,3450,19366,56459
PUNJAB,TOTAL,2010,2021,1092,1578,208,13794,101,3845,4873,1671,3350,10896,36648
RAJASTHAN,TOTAL,2010,3082,3142,5970,121,50234,1464,17409,19247,13969,7978,67221,162957
SIKKIM,TOTAL,2010,25,36,12,1,185,11,24,73,15,47,200,552
TAMIL NADU,TOTAL,2010,4548,1372,3440,97,35698,3300,3748,21309,3778,14644,110733,185678
TRIPURA,TOTAL,2010,221,476,228,18,1200,214,181,1136,1347,237,1356,5805
UTTAR PRADESH,TOTAL,2010,9806,3126,12642,385,69798,4356,13796,10336,12999,14472,61500,174179
UTTARAKHAND,TOTAL,2010,455,242,572,14,4748,475,767,974,699,738,2101,9240
WEST BENGAL,TOTAL,2010,5139,4622,6690,975,39964,7140,4485,12764,20939,2847,49096,129616
A & N ISLANDS,TOTAL,2010,20,48,20,1,329,23,66,80,50,9,489,980
CHANDIGARH,TOTAL,2010,60,62,76,11,3265,74,189,65,79,6,1036,3373
D & N HAVELI,TOTAL,2010,7,6,36,2,154,46,31,11,16,20,133,378
DAMAN & DIU,TOTAL,2010,8,2,4,6,121,11,9,12,5,38,37,203
DELHI UT,TOTAL,2010,947,1014,6416,63,48277,105,2151,1925,2228,914,14055,51292
LAKSHADWEEP,TOTAL,2010,0,0,0,0,15,5,0,1,0,0,26,42
PUDUCHERRY,TOTAL,2010,68,6,34,12,1145,141,92,806,76,242,1867,3935
ANDHRA PRADESH,TOTAL,2011,5208,2884,4308,133,65434,3231,11146,54452,22482,13973,38392,189780
ARUNACHAL PRADESH,TOTAL,2011,96,84,186,13,1075,83,130,379,69,98,622,2286
ASSAM,TOTAL,2011,1855,3400,7528,309,20782,2834,2475,6306,6570,2915,25513,66714
BIHAR,TOTAL,2011,6873,1868,8536,661,37594,10473,5581,19391,4831,5877,55705,135896
CHHATTISGARH,TOTAL,2011,1885,2106,944,75,14648,1223,1225,11105,2768,2856,25223,57218
GOA,TOTAL,2011,76,58,56,2,2574,98,218,215,60,263,1001,3449
GUJARAT,TOTAL,2011,1647,878,3228,245,37963,1878,2994,10159,6860,5827,69788,123371
HARYANA,TOTAL,2011,1973,1466,1918,343,40499,1632,2591,3423,3959,1505,20549,60741
HIMACHAL PRADESH,TOTAL,2011,186,336,424,1,3089,640,506,1251,636,563,8102,14312
JAMMU & KASHMIR,TOTAL,2011,692,554,2154,14,6914,1610,846,246,1841,385,13257,24504
JHARKHAND,TOTAL,2011,2548,1568,1882,349,14605,2271,1376,4403,1271,1728,11940,35838
KARNATAKA,TOTAL,2011,3742,1272,2790,613,47927,7496,6395,21295,6680,750,60505,137600
KERALA,TOTAL,2011,991,2264,598,316,13150,11204,5551,21747,9721,65,112665,172137
MADHYA PRADESH,TOTAL,2011,4990,6812,2576,235,57010,2864,2429,35711,12015,7478,112082,217094
MAHARASHTRA,TOTAL,2011,5067,3402,3338,1064,127460,9811,11332,29769,12340,13024,45114,204902
MANIPUR,TOTAL,2011,327,106,338,155,1497,169,180,292,78,2,1015,3218
MEGHALAYA,TOTAL,2011,224,260,174,49,1600,42,231,197,100,90,701,2755
MIZORAM,TOTAL,2011,58,154,12,1,1810,19,89,97,82,37,279,1821
NAGALAND,TOTAL,2011,100,46,68,7,852,3,52,55,10,15,292,1083
ODISHA,TOTAL,2011,3149,2224,2278,501,22062,1979,1651,7894,6227,3778,20509,61277
PUNJAB,TOTAL,2011,1951,958,1362,171,12292,83,3910,4757,1592,3576,10175,34883
RAJASTHAN,TOTAL,2011,3127,3600,6408,100,47435,1224,18294,17977,15188,8122,70250,165622
SIKKIM,TOTAL,2011,29,32,20,0,209,29,38,75,28,57,177,596
TAMIL NADU,TOTAL,2011,4867,1354,3968,112,34762,3715,4385,21167,3895,16076,115163,192879
TRIPURA,TOTAL,2011,238,410,308,11,1265,233,162,1340,1035,14,1640,5803
UTTAR PRADESH,TOTAL,2011,11058,4084,17000,418,82279,5499,13932,12234,12901,14380,68575,195135
UTTARAKHAND,TOTAL,2011,421,258,628,14,4707,418,660,852,578,696,2078,8774
WEST BENGAL,TOTAL,2011,4837,4726,8570,1175,44107,6432,5642,13094,22845,3249,56614,143197
A & N ISLANDS,TOTAL,2011,22,26,30,1,276,17,35,81,23,6,392,793
CHANDIGARH,TOTAL,2011,70,54,116,8,3357,75,280,45,81,7,1036,3542
D & N HAVELI,TOTAL,2011,16,8,18,7,162,25,30,25,5,24,134,372
DAMAN & DIU,TOTAL,2011,7,2,6,4,131,19,15,11,2,43,35,224
DELHI UT,TOTAL,2011,1000,1144,7534,58,47779,92,2971,1946,2536,1168,14363,53353
LAKSHADWEEP,TOTAL,2011,1,0,0,0,8,8,1,3,0,0,27,44
PUDUCHERRY,TOTAL,2011,66,14,24,15,1490,135,67,853,62,243,2119,4362
ANDHRA PRADESH,TOTAL,2012,5058,2682,3740,132,64060,2858,12533,56768,22423,13929,39025,192522
ARUNACHAL PRADESH,TOTAL,2012,103,92,164,20,1084,61,141,438,96,94,657,2420
ASSAM,TOTAL,2012,2092,3432,7624,273,23520,7907,3044,6676,8394,2565,27077,77682
BIHAR,TOTAL,2012,9303,1854,9614,594,40358,11670,5623,45827,5120,4631,35421,146614
CHHATTISGARH,TOTAL,2012,1617,2068,900,68,14428,1240,1148,10855,2824,2888,23387,54598
GOA,TOTAL,2012,83,110,48,6,2211,156,285,266,89,233,1115,3608
GUJARAT,TOTAL,2012,1726,946,3440,306,37965,2040,2817,10234,7517,5573,75702,130121
HARYANA,TOTAL,2012,1969,1336,2698,380,41020,1615,2558,3277,4354,1484,21396,62480
HIMACHAL PRADESH,TOTAL,2012,175,366,344,1,2476,625,511,1173,571,562,6877,12557
JAMMU & KASHMIR,TOTAL,2012,651,606,2186,6,5520,1590,792,322,1978,371,14004,24608
JHARKHAND,TOTAL,2012,2628,1624,2112,317,15070,2467,2219,4785,1860,1594,14818,40946
KARNATAKA,TOTAL,2012,3854,1242,2902,747,44835,7918,6307,20350,7012,876,58468,134021
KERALA,TOTAL,2012,978,2038,562,361,11591,11506,5050,21170,9481,48,101582,158989
MADHYA PRADESH,TOTAL,2012,4819,6850,2604,234,58323,2765,2628,35549,12166,7721,114585,220335
MAHARASHTRA,TOTAL,2012,5051,3678,3166,1115,117549,10106,11589,28392,12973,13311,46668,202700
MANIPUR,TOTAL,2012,496,126,446,179,1862,146,205,285,93,2,1086,3737
MEGHALAYA,TOTAL,2012,208,328,184,53,1277,61,165,157,60,102,761,2557
MIZORAM,TOTAL,2012,58,206,16,2,1561,13,60,103,93,34,336,1766
NAGALAND,TOTAL,2012,123,42,54,1,881,10,65,30,16,31,266,1090
ODISHA,TOTAL,2012,3481,2916,3084,501,24303,2674,1943,8223,7654,3605,22203,67957
PUNJAB,TOTAL,2012,2004,1360,1838,232,13585,75,3789,4186,1782,3405,10405,35790
RAJASTHAN,TOTAL,2012,3097,4098,6486,105,52045,1048,20377,17614,16160,8284,70240,170948
SIKKIM,TOTAL,2012,14,68,20,0,305,42,35,91,24,32,58,528
TAMIL NADU,TOTAL,2012,4947,1474,3890,116,30347,3862,4790,22100,3951,15499,124176,200474
TRIPURA,TOTAL,2012,205,458,278,7,1429,187,161,1504,1216,10,1742,6264
UTTAR PRADESH,TOTAL,2012,11187,3926,17756,390,84098,6003,14556,12290,13160,14406,68538,198093
UTTARAKHAND,TOTAL,2012,422,296,594,32,4361,386,688,1022,651,670,2118,8882
WEST BENGAL,TOTAL,2012,5628,4092,10234,1154,47262,7007,7043,15923,24371,4385,64482,161427
A & N ISLANDS,TOTAL,2012,18,24,16,5,215,12,37,62,28,6,351,683
CHANDIGARH,TOTAL,2012,70,54,174,12,3396,58,270,42,148,3,1042,3606
D & N HAVELI,TOTAL,2012,9,6,26,2,160,23,14,25,2,23,112,318
DAMAN & DIU,TOTAL,2012,8,10,6,1,139,20,14,17,3,38,46,239
DELHI UT,TOTAL,2012,1042,1412,7940,41,46387,158,2893,1747,3054,913,15408,54287
LAKSHADWEEP,TOTAL,2012,0,0,0,0,17,13,0,3,2,0,32,60
PUDUCHERRY,TOTAL,2012,68,26,38,20,1409,147,105,818,17,263,2060,4281
ANDHRA PRADESH,TOTAL,2013,4903,3270,4238,130,72593,2876,14810,60488,27208,13641,48644,218015
ARUNACHAL PRADESH,TOTAL,2013,108,150,284,24,1299,59,97,498,125,129,734,2776
ASSAM,TOTAL,2013,1987,3874,9602,255,26244,3222,4114,8171,11231,3064,32675,87186
BIHAR,TOTAL,2013,7589,2256,11140,632,48552,12591,6448,35675,6105,4232,60356,167455
CHHATTISGARH,TOTAL,2013,1616,2760,4470,52,14256,1114,1152,10546,3732,3204,22772,56870
GOA,TOTAL,2013,86,172,216,11,2698,166,310,349,256,205,1175,4312
GUJARAT,TOTAL,2013,1770,1464,5332,306,37035,2019,2640,9917,9161,5864,100638,157435
HARYANA,TOTAL,2013,1818,1942,5544,259,44124,1749,2760,3171,6085,4242,22767,72098
HIMACHAL PRADESH,TOTAL,2013,180,500,704,14,2582,625,619,1157,932,599,7258,13750
JAMMU & KASHMIR,TOTAL,2013,688,756,1966,6,5198,1935,771,324,2178,370,14421,25390
JHARKHAND,TOTAL,2013,2511,2408,2542,255,15585,2650,3468,5972,2935,1788,17408,48208
KARNATAKA,TOTAL,2013,3677,2060,3672,792,47665,7569,7141,21118,7603,897,57117,136689
KERALA,TOTAL,2013,1079,2442,504,327,11871,10521,5259,20399,9607,249,119628,176334
MADHYA PRADESH,TOTAL,2013,4589,8670,6708,296,62929,2450,2159,35256,14759,8203,114168,227453
MAHARASHTRA,TOTAL,2013,5143,6126,5280,1096,133414,10807,12663,30796,19626,12575,55232,234385
MANIPUR,TOTAL,2013,308,144,362,136,1796,105,198,223,88,2,923,3178
MEGHALAYA,TOTAL,2013,296,366,278,52,1489,140,238,276,123,129,811,3259
MIZORAM,TOTAL,2013,48,178,14,4,1663,28,78,70,86,49,230,1709
NAGALAND,TOTAL,2013,159,62,80,3,897,20,77,59,24,26,286,1216
ODISHA,TOTAL,2013,3666,3664,4740,562,25513,2353,2610,10743,8231,4039,19843,71718
PUNJAB,TOTAL,2013,1738,1776,2548,157,12618,65,4134,3916,2979,3383,10400,36667
RAJASTHAN,TOTAL,2013,3321,6570,9972,120,64704,1026,23468,18755,20402,8572,76513,196224
SIKKIM,TOTAL,2013,27,86,32,0,335,51,32,122,34,56,257,851
TAMIL NADU,TOTAL,2013,4976,1846,3558,138,31211,3346,5205,20984,4173,14944,127850,203579
TRIPURA,TOTAL,2013,202,466,288,10,1333,206,272,1485,1270,10,1578,6210
UTTAR PRADESH,TOTAL,2013,11574,6100,22366,666,94172,6380,15937,12398,18444,14345,80245,226445
UTTARAKHAND,TOTAL,2013,420,456,2064,24,3578,351,727,1011,845,569,2357,9546
WEST BENGAL,TOTAL,2013,6202,3370,9146,1305,46895,6637,8097,18159,24096,4052,70738,169535
A & N ISLANDS,TOTAL,2013,11,54,28,1,117,2,30,55,63,6,323,612
CHANDIGARH,TOTAL,2013,75,90,522,12,3358,62,310,59,262,6,1146,4077
D & N HAVELI,TOTAL,2013,6,10,26,1,137,25,12,15,3,16,139,314
DAMAN & DIU,TOTAL,2013,14,16,26,6,96,19,23,14,4,35,52,246
DELHI UT,TOTAL,2013,1167,3272,12588,37,64328,210,3352,1768,7608,1778,22130,80184
LAKSHADWEEP,TOTAL,2013,0,4,0,0,18,3,1,5,1,0,18,40
PUDUCHERRY,TOTAL,2013,44,34,82,9,1269,101,94,715,29,238,1793,3756
